Installation Name,Buildings Owned  ,Structures Owned  , CITY , STATE
MARCH AIR RESERVE BASE,203,110, Riverside  ,California 
MARTIN STATE AIRPORT,46,44, Middle River  ,Maryland 
MAXWELL AFB,261,174, Maxwell AFB  ,Alabama
MCCONNELL,195,301, Wichita ,Kansas
MCENTIRE JOINT NATIONAL GUARD BASE,90,115, Eastover  ,South Carolina 
MCGHEE TYSON AIRPORT,72,66, Louisville  ,Tennessee
MIDDLE GEORGIA REGIONAL AIRPORT,0,0, Macon ,Georgia 
MEMPHIS IAP,19,49, Memphis ,Tennessee
MINN-ST PAUL,90,86, Minneapolis ,Minnesota
MINOT AFB,617,860, Donnybrook  ,North Dakota 
MOFFETT FIELD,30,17, Moffett Field  ,California 
MONTGOMERY REGIONAL AIRPORT ANG BASE,49,47, Montgomery ,Alabama
MOODY AIR FORCE BASE,367,311, Moody AFB  ,Georgia 
MT HOME AFB,269,280, Mountain Home AFB  ,Idaho
NAS JOINT RESERVE BASE, 54,30, Belle Chase  ,Louisiana
NASHVILLE IAP,36,64, Nashville  ,Tennessee
NELLIS,670,819, Nellis AFB  ,Nevada
NEW CASTLE AIRPORT,40,28, New Castle  ,Delaware 
NIAGARA FALLS,92,129, Niagara Falls  ,New York
NORTH HIGHLANDS ANG STATION,44,48, Hayward  ,California 
OFFUTT AIR FORCE BASE,237,238, Offutt AFB  ,Nebraska
OTIS ANG BASE,121,99, Mashpee  ,Massachusetts 
PATRICK,780,1384, Cape Canaveral  ,Florida
PEASE ANGB NEWHAMPSHIRE,43,63, Portsmouth  ,New Hampshire 
PETERSON AFB,294,285, Colorado Springs  ,Colorado 
PITTSBURGH IAP (ANG),98,45, Coraopolis  ,Pennsylvania 
PORTLAND IAP OR,61,69, Portland  ,Oregon
QUONSET STATE AIRPORT,40,54, North Kingstown  ,Rhode Island 
RENO TAHOE INT'L AIRPORT,29,59, Reno  ,Nevada
RICKENBACKER,25,43, Columbus  ,Ohio
ROBINS AIR FORCE BASE,506,430, Robins AFB  ,Georgia 
ROSECRANS MAP/139AG,42,44, St Joseph  ,Missouri
SALT LAKE CITY IAP,51,24, Salt Lake City  ,Utah
SAVANNAH/HILTON HEAD IAP,98,107, Garden City  ,South Carolina 
SCHENECTADY AP,33,27, Scotia  ,New York 
SCHRIEVER AFB,128,180, Colorado Springs  ,Colorado 
SCOTT AFB,300,272, Belleville ,Illinois
SELFRIDGE AIR NATIONAL GUARD BASE,241,123, Selfridge  ,Michigan
SEYMOUR JOHNSON AIR FORCE BS,365,305, Seymour Johnson AFB  ,North Carolina 
SHAW AIR FORCE BASE,305,321, Shaw AFB  ,South Carolina 
SHEPPARD AFB,375,334, Wichita Falls  ,Texas 
SIOUX GATEWAY APT / COL BUD DAY FIELD (ANG),43,175, Sioux City  ,Iowa
SKY HARBOR IAP,15,39, Phoenix ,Arizona
SMOKY HILL ANG RANGE,37,67, Salina ,Kansas
SOUTHERN CALIFORNIA LOGISTICS AIRPORT,3,3, Victorville  ,California 
SPRINGFIELD BECKLEY,59,87, Springfield  ,Ohio
STEWART IAP,32,30, Newburgh ,New York 
SYRACUSE HANCOCK IAP,50,43, Syracuse ,New York 
TED STEVENS IAP,34,22, Anchorage  ,Alaska 
TINKER AFB,441,573, Oklahoma City  ,Oklahoma 
TOLEDO/EXP APRT,40,33, Swanton  ,Ohio
TONOPAH AUXILIARY AIR FIELD ANNEX,252,141, Tonopah ,Nevada
TRAVIS AFB,369,295, Fairfield  ,California 
TRUAX ANG BASE,47,38, Madison  ,Wisconsin 
TUCSON IAP ARZ,41,52, Tucson ,Arizona
TYNDALL AFB,459,500, Tyndall AFB  ,Florida
U S A F ACADEMY,350,310, Air Force Academy ,Colorado 
VANCE AIR FORCE BASE,132,108, Enid  ,Oklahoma 
VANDENBERG MAIN BASE,600,819, Lompoc ,California 
VOLK ANG BASE,125,112, Camp Douglas  ,Wisconsin
W K KELLOGG AIRPORT,34,31, Battle Creek ,Michigan
WESTOVER ARB,121,129, Chicopee ,Massachusetts 
WHITEMAN,301,394, Whiteman AFB  ,Missouri
WILL ROGERS WORLD AIRPORT,36,53, Oklahoma City  ,Oklahoma
WRIGHT-PATTERSON AFB,615,402, Wright-Patterson AFB  ,Ohio 
YEAGER APRT,30,25, Charleston  ,West Virginia
YOUNGSTOWN JOINT AIR RESERVE STATION,76,83, Vienna  ,Ohio
